ID,Región,Comuna,Tipo Propiedad,Precio,Metros Totales,Metros Útiles,Habitaciones,Baños,Estacionamiento,Bodega,Año Construcción
1,Coquimbo,La Serena,Terreno,182546501,142,112,3,2,Sí,No,1982
2,Araucanía,Temuco,Casa,185667421,30,23,2,2,Sí,No,2022
3,Coquimbo,La Serena,Departamento,387368371,287,274,5,2,Sí,Sí,2013
4,Valparaíso,Valparaíso,Departamento,465340305,219,214,1,3,Sí,Sí,1984
5,Los Lagos,Puerto Montt,Terreno,485416587,175,162,5,2,Sí,Sí,1989
6,Biobío,Los Ángeles,Departamento,239989338,296,283,5,2,No,No,1950
7,Valparaíso,Viña del Mar,Oficina,184093295,143,114,2,3,No,No,1967
8,Metropolitana,Las Condes,Terreno,429580931,154,146,4,1,No,No,2004
9,Biobío,Los Ángeles,Casa,396046853,46,38,4,4,Sí,Sí,1963
10,Metropolitana,Providencia,Casa,93538177,283,262,6,4,Sí,No,2018
11,Valparaíso,Viña del Mar,Oficina,41147732,134,108,6,1,Sí,Sí,2015
12,Coquimbo,La Serena,Casa,295951038,232,212,1,2,Sí,Sí,1998
13,Metropolitana,Providencia,Oficina,374300287,125,107,6,2,Sí,No,1973
14,Biobío,Los Ángeles,Terreno,140178788,99,83,1,1,Sí,No,1984
15,Los Lagos,Puerto Montt,Casa,479551690,261,246,6,4,No,Sí,1997
16,Valparaíso,Viña del Mar,Oficina,217541754,113,105,4,4,Sí,No,1992
17,Biobío,Concepción,Terreno,275249329,139,118,4,1,No,No,1979
18,Metropolitana,Providencia,Terreno,434663768,291,277,5,2,Sí,No,2019
19,Valparaíso,Valparaíso,Casa,303103505,202,195,5,2,Sí,No,1962
20,Metropolitana,Santiago,Terreno,470471352,70,49,5,3,No,Sí,1958
21,Coquimbo,La Serena,Casa,201442115,180,166,1,1,Sí,Sí,1954
22,Coquimbo,La Serena,Departamento,371066384,159,151,1,2,Sí,No,2008
23,Biobío,Los Ángeles,Terreno,178037196,257,241,6,3,No,No,2018
24,Metropolitana,Las Condes,Terreno,99180071,299,287,6,1,Sí,Sí,2019
25,Los Lagos,Puerto Montt,Oficina,129835554,115,96,6,1,Sí,No,1998
